Num of movable links,target_xcor,Elapsed time,Best solution,Best solution time,Fitness value of the best solution,Generation of the best solution,Best solution distance,Best solution time of throw,Best solution total work sum,Acceptable solution,Acceptable solution time,Fitness value of the acceptable solution,Generation of the acceptable solution,Acceptable solution distance,Acceptable solution time of throw,Acceptable solution total work sum,num_generations,num_parents_mating,parent_selection_type,crossover_type,init_range_low,init_range_high,random_mutation_min_val,random_mutation_max_val,mutation_probability,sol_per_pop,max_fitness,distance_value,time_value,work_sum_value,penalty_col,penalty_angle,fitness_change,Num_of_training_instances
4,4000.0,9.028995037078857,"[4.822764310158286, 34.45822787432944, 0.16955475077190796, 31.60567392476021, 0.9690646015984994, 9.98793912422953, 0.1303707152115008, 1.5876560753939906]",5.241757869720459,1909.6025646364083,2,417.5720328545003,2.91499999999996,76057.94541596729,"[49.091354361624155, 49.10890725526084, 121.58162386122942, 92.38374601908623, 51.24975141702941, 30.892053395219055, 22.160190435098823, 18.6632068891017]",9,781.4038052142714,9,3.6469098729812686,3.049999999999957,639759.0004562575,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[1422.3894985907682, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083, 1909.6025646364083]",4
4,4000.0,9.238325357437134,"[0.9994958161573679, 22.752355817506487, 45.28891394114228, 31.52670248790649, 5.998465997217565, 84.28028525745785, 28.112757336109958, 19.16375058564156]",1.1453347206115723,1241.7028419703206,8,47.87425009243816,3.0299999999999576,603329.4648545424,"[64.80047462000161, 20.05237178557759, 111.44774158483594, 68.90198047565275, -39.662837755693666, 51.50599023177021, 51.48603933299293, 19.26431659613626]",9,781.0304754369149,9,3.2482752375021846,3.199999999999954,460768.49333357206,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-60.7595964357979, -60.7595964357979, 538.2298417104771, 754.336188142096, 754.336188142096, 754.336188142096, 754.336188142096, 1241.7028419703206, 1241.7028419703206, 1241.7028419703206]",4
4,4000.0,8.586710453033447,"[1.112658930912682, 32.981532191573386, 24.947060096818007, -10.475648977751966, 43.809856588001736, 91.36074686057717, -0.49205350360406896, 17.08198017442362]",1.1989541053771973,1622.0019532718593,8,184.37585555187343,2.409999999999971,97767.31454705684,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[1448.0893319344304, 1448.0893319344304, 1448.0893319344304, 1448.0893319344304, 1448.0893319344304, 1448.0893319344304, 1448.0893319344304, 1622.0019532718593, 1622.0019532718593, 1622.0019532718593]",4
4,4000.0,8.630684852600098,"[45.474556034591934, 47.339849440339535, 0.22602951689977702, 11.582184350476618, 0.7017470986176155, -34.549270480314384, -29.19763284789774, 2.3216505146428705]",4.939867258071899,1710.5472005326192,2,82.62022196205089,3.014999999999958,195997.01535449832,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-148.40680722720526, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192, 1710.5472005326192]",4
4,4000.0,8.753396272659302,"[52.144212889792634, 25.39004927499323, 26.68208380505005, 53.59581449194884, 53.31106120132156, 12.54245047468358, 1.5231491316967225, 46.249032586212245]",0.2167370319366455,846.2283003166094,6,486.455890247189,3.1849999999999543,363984.60920523596,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[439.30916650957624, 439.30916650957624, 439.30916650957624, 762.2778797520341, 762.2778797520341, 846.2283003166094, 846.2283003166094, 846.2283003166094, 846.2283003166094, 846.2283003166094]",4
4,4000.0,8.948526859283447,"[0.19360830667137785, -30.938683340693792, 26.235942889858872, 40.24864390426781, 16.085299404360164, 17.780514312038957, 1.1155369174338576, 44.13609278489984]",4.097803115844727,1627.1965049504365,3,175.9505614585487,2.8849999999999607,229897.36869799014,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[438.3780838427997, 1376.8586164663093, 1627.1965049504365, 1627.1965049504365, 1627.1965049504365, 1627.1965049504365, 1627.1965049504365, 1627.1965049504365, 1627.1965049504365, 1627.1965049504365]",4
4,4000.0,8.521080732345581,"[5.219996015814614, 17.093577677660168, -2.407594777299466, 9.110879371848547, 34.121533886379666, 51.67979780205541, -1.4552934715476056, 1.0804749126655224]",3.110013246536255,1281.4340896048097,5,3.7557014439926206,3.0349999999999575,107790.95597094149,"[5.219996015814614, 17.093577677660168, -2.407594777299466, 9.110879371848547, 34.121533886379666, 51.67979780205541, -1.4552934715476056, 1.0804749126655224]",5,1281.4340896048097,4,3.7557014439926206,3.0349999999999575,107790.95597094149,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-66.76112112527062, 398.31994613418374, 592.2127307324722, 592.2127307324722, 1281.4340896048097, 1281.4340896048097, 1281.4340896048097, 1281.4340896048097, 1281.4340896048097, 1281.4340896048097]",2
4,4000.0,8.728445053100586,"[102.2278542300235, -22.716322760933874, 10.944852523961885, -10.661335438573406, 0.5413857130204469, 29.402945742083652, 109.58763927024344, 18.737347992882864]",1.419769048690796,1160.6659025242448,8,138.5891059421465,2.91499999999996,289021.27823729767,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[1048.1721221706673, 1048.1721221706673, 1048.1721221706673, 1048.1721221706673, 1048.1721221706673, 1048.1721221706673, 1048.1721221706673, 1160.6659025242448, 1160.6659025242448, 1160.6659025242448]",2
4,4000.0,8.697898149490356,"[0.969555433350358, 19.36855577432617, -20.599825356903025, -22.60149397305507, 0.8922435931828647, 31.89611111345664, 26.112773453630822, 16.740685733664584]",1.0458271503448486,1729.9779120228568,8,59.96853471056511,3.204999999999954,254067.37634776908,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[1490.7594215694044, 1490.7594215694044, 1490.7594215694044, 1490.7594215694044, 1490.7594215694044, 1650.5000905785864, 1687.7610008185084, 1729.9779120228568, 1729.9779120228568, 1729.9779120228568]",6
4,4000.0,8.80489993095398,"[-42.517035536209484, 52.95277743356207, 1.0822130383333324, 83.09450893330353, 35.95221855260406, 34.71645044568124, 131.59562732125386, 19.718440950623112]",0.08585977554321289,1230.4596541537258,10,60.82054053658521,2.954999999999959,268593.633475917,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-106.65731764789894, 834.1021460055922, 1178.2851978597932, 1178.2851978597932, 1178.2851978597932, 1178.2851978597932, 1178.2851978597932, 1178.2851978597932, 1178.2851978597932, 1230.4596541537258]",6
4,4000.0,8.849898099899292,"[0.6298247819200018, -4.965917411226393, 65.32257873872692, 24.342110774579893, 46.78843239382711, 16.145231135558316, 1.4710143464222571, 74.14688841421312]",1.066807508468628,1676.2014160352842,9,121.11826686753784,2.954999999999959,171437.83932103906,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[312.13963185060175, 312.13963185060175, 872.1584400657421, 872.1584400657421, 1058.5376841387447, 1058.5376841387447, 1058.5376841387447, 1125.101387250816, 1676.2014160352842, 1676.2014160352842]",6
4,4000.0,8.867919683456421,"[14.667500856067019, 0.7171382364842187, 2.0173530238593944, 36.02263032987143, 36.34620493005402, -58.0436746898981, 0.6649857597682498, 62.63955227407363]",0.700984001159668,1264.6577785988552,3,24.567016793598214,2.639999999999966,319062.8690641096,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[358.58501275735625, 358.58501275735625, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552, 1264.6577785988552]",6
4,4000.0,9.280754089355469,"[-29.249393786440336, -8.598370885938884, -0.01414768650393583, 35.055579958155434, 4.9952514181301595, 56.08420044509765, 1.2973804518859589, 18.561241859604536]",4.8356711864471436,1774.0881836286708,2,11.823454158478398,3.049999999999957,207076.2869889519,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,10,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[938.6677112352827, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708, 1774.0881836286708]",6
4,4000.0,9.278762578964233,"[-4.979752664204582, 45.95332596488775, 0.10730824116586923, 9.009940045853824, 0.7717755446476575, -35.4733663061399, -0.6138854142244825, 65.35791484971516]",1.6236305236816406,2271.0007228381687,7,16.852842826131564,2.7649999999999633,67186.18312956237,"[-17.512818083066264, 53.7786432599555, -12.24752716331674, 63.39175159609492, 74.79177285503737, 64.35935145431992, 79.7392029742893, 19.552809746873642]",7,776.4012011135815,5,9.66710400978127,2.974999999999959,234052.7761552084,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-195.795196721916, -195.795196721916, 461.57690933789127, 1690.3600139519885, 1690.3600139519885, 2066.1152525487696, 2271.0007228381687, 2271.0007228381687, 2271.0007228381687, 2271.0007228381687]",6
4,4000.0,8.65501093864441,"[0.31114033838581445, 11.362415347780876, 0.7160293563195739, 29.339188718930412, -28.089584550304554, 20.843119192268063, 1.346302922740362, 19.07518844212583]",5.619539499282837,2217.314278630502,1,73.37440876608116,3.3249999999999513,237534.80025067233,"[75.21755145114531, 17.166782348657442, 24.703335806065045, 13.108635999851364, 49.80981878944773, 20.843119192268063, 81.93733395161375, 93.12736618493811]",6,775.1317364294882,6,3.9072188450613794,4.2549999999999315,767666.0995695113,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502, 2217.314278630502]",6
4,4000.0,8.792693614959717,"[-36.76521462894945, 45.18327486186456, -0.5757770355402361, 19.473858396002996, 40.87680159867695, 36.21345936242524, 0.7778498200006196, 51.32543831611606]",3.2781407833099365,1778.8017872726532,4,2.7022295455940366,3.7499999999999423,162061.36312589116,"[-36.76521462894945, 45.18327486186456, -0.5757770355402361, 19.473858396002996, 40.87680159867695, 36.21345936242524, 0.7778498200006196, 51.32543831611606]",6,1778.8017872726532,4,2.7022295455940366,3.7499999999999423,162061.36312589116,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[838.9412254756185, 1621.3520417387913, 1621.3520417387913, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532, 1778.8017872726532]",6
4,4000.0,8.904947280883789,"[45.755807568594506, 0.4334074697937409, -30.485803782504323, 1.5946967081422943, 1.5051390305851264, 45.976455936436054, 30.08996692603097, 19.333275296621967]",4.785259008407593,1253.9654161140097,2,34.66727971992623,2.959999999999959,340321.3805671095,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[-61.721969311264274, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097, 1253.9654161140097]",6
4,4000.0,9.111252784729004,"[0.2955689118844065, -34.05063671584367, 0.0371216446089202, 1.2586131155715878, 1.6141926240934588, -69.99083231157373, -1.12733553074397, 88.462838927805]",2.137881278991699,1922.5451047689494,7,400.68655339635916,3.3649999999999505,119971.74327418083,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[241.81222379597784, 241.81222379597784, 241.81222379597784, 241.81222379597784, 515.649050680202, 515.649050680202, 1922.5451047689494, 1922.5451047689494, 1922.5451047689494, 1922.5451047689494]",6
4,4000.0,9.18311357498169,"[1.5450452274394773, -30.243664900554297, 3.1732980819994676, 63.12839811126969, 85.18053627185586, 17.777873651361645, 30.497664217308156, 76.71268612697463]",1.445502758026123,1121.895729650044,8,181.79854089588116,2.8899999999999606,355835.43663358485,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[443.5566673956, 443.5566673956, 864.8014773420769, 864.8014773420769, 864.8014773420769, 864.8014773420769, 864.8014773420769, 1121.895729650044, 1121.895729650044, 1121.895729650044]",6
4,4000.0,9.191108465194702,"[0.2212761756879269, 7.183968664844233, -10.369585265492535, 1.4374271353526709, 1.258499396678028, 31.345962088823597, 6.267409532174831, 17.707368942603672]",4.016504764556885,1558.7549678734727,3,251.59195182689064,2.959999999999959,122754.82325897603,"[0, 0, 0, 0, 0, 0, 0, 0]",False,False,0,-1,-1,-1,10,30,sss,single_point,0.0,2.0,-50.0,50.0,0.5,50,3000.0,0.9,5.0,1e-07,200.0,500.0,"[517.384062555943, 887.2833359233532, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727, 1558.7549678734727]",6
